=== SPREAD MONITOR ===
Monitoring 1 pair(s)
Press Ctrl+C to stop

timestamp,pair,spread,hi_pool,tickA,tickB,ageA,ageB
# Fetching initial pool states...
2026-04-15T00:21:32.566Z,SOL/USDC,0.07850%,hi=ts=4,tickA=-24791,tickB=-24799,ageA=0.0s,ageB=0.2s
2026-04-15T00:21:32.566Z,SOL/USDC,0.07845%,hi=ts=4,tickA=-24791,tickB=-24799,ageA=0.0s,ageB=0.2s
2026-04-15T00:21:32.567Z,SOL/USDC,0.07844%,hi=ts=4,tickA=-24791,tickB=-24799,ageA=0.0s,ageB=0.2s
2026-04-15T00:21:32.569Z,SOL/USDC,0.07844%,hi=ts=4,tickA=-24791,tickB=-24799,ageA=0.0s,ageB=0.2s
2026-04-15T00:21:32.627Z,SOL/USDC,0.07839%,hi=ts=4,tickA=-24791,tickB=-24799,ageA=0.0s,ageB=0.3s
2026-04-15T00:21:32.657Z,SOL/USDC,0.07838%,hi=ts=4,tickA=-24791,tickB=-24799,ageA=0.0s,ageB=0.3s
2026-04-15T00:21:32.661Z,SOL/USDC,0.07838%,hi=ts=4,tickA=-24791,tickB=-24799,ageA=0.0s,ageB=0.3s
2026-04-15T00:21:32.662Z,SOL/USDC,0.07837%,hi=ts=4,tickA=-24791,tickB=-24799,ageA=0.0s,ageB=0.3s
2026-04-15T00:21:32.796Z,SOL/USDC,0.07837%,hi=ts=4,tickA=-24791,tickB=-24799,ageA=0.0s,ageB=0.5s
2026-04-15T00:21:32.797Z,SOL/USDC,0.07837%,hi=ts=4,tickA=-24791,tickB=-24799,ageA=0.0s,ageB=0.5s
2026-04-15T00:21:32.997Z,SOL/USDC,0.04446%,hi=ts=4,tickA=-24791,tickB=-24796,ageA=0.2s,ageB=0.0s
2026-04-15T00:21:33.046Z,SOL/USDC,0.04444%,hi=ts=4,tickA=-24791,tickB=-24796,ageA=0.0s,ageB=0.0s
2026-04-15T00:21:33.924Z,SOL/USDC,0.04465%,hi=ts=4,tickA=-24791,tickB=-24796,ageA=0.0s,ageB=0.9s
2026-04-15T00:21:33.964Z,SOL/USDC,0.04459%,hi=ts=4,tickA=-24791,tickB=-24796,ageA=0.0s,ageB=1.0s
2026-04-15T00:21:39.439Z,SOL/USDC,0.04464%,hi=ts=4,tickA=-24791,tickB=-24796,ageA=0.0s,ageB=6.4s
2026-04-15T00:21:43.302Z,SOL/USDC,0.01394%,hi=ts=4,tickA=-24791,tickB=-24793,ageA=3.9s,ageB=0.0s
# --- 2026-04-15T00:21:52.106Z | updates: 107 | pools tracked: 2 ---
2026-04-15T00:21:59.133Z,SOL/USDC,0.01394%,hi=ts=4,tickA=-24791,tickB=-24793,ageA=0.0s,ageB=15.8s
2026-04-15T00:21:59.516Z,SOL/USDC,0.01394%,hi=ts=4,tickA=-24791,tickB=-24793,ageA=0.0s,ageB=16.2s
2026-04-15T00:22:00.728Z,SOL/USDC,0.01890%,hi=ts=4,tickA=-24791,tickB=-24793,ageA=0.0s,ageB=17.4s
2026-04-15T00:22:00.730Z,SOL/USDC,0.02037%,hi=ts=4,tickA=-24791,tickB=-24793,ageA=0.0s,ageB=17.4s
2026-04-15T00:22:00.731Z,SOL/USDC,0.03190%,hi=ts=4,tickA=-24790,tickB=-24793,ageA=0.0s,ageB=17.4s
2026-04-15T00:22:00.768Z,SOL/USDC,0.03214%,hi=ts=4,tickA=-24790,tickB=-24793,ageA=0.0s,ageB=17.5s
2026-04-15T00:22:00.774Z,SOL/USDC,0.05547%,hi=ts=4,tickA=-24787,tickB=-24793,ageA=0.0s,ageB=17.5s
2026-04-15T00:22:01.280Z,SOL/USDC,0.03182%,hi=ts=4,tickA=-24787,tickB=-24790,ageA=0.5s,ageB=0.0s
2026-04-15T00:22:01.334Z,SOL/USDC,0.03545%,hi=ts=4,tickA=-24787,tickB=-24790,ageA=0.0s,ageB=0.1s
